No,labels,X,Y,Z,COG_X,COG_Y,COG_Z,Voxels,n,Isq,g,SE,z,p001_uncorr,p05perm
1,"Frontal Pole (9.5), Insular Cortex (7.7)",34,16,4,45.2,6.01,8.51,9456,428.999999600463,77.0686365466099,1.62,0.218296087314229,7.42519017576706,0,0.000488296151161194
2,"Insular Cortex (10.5), Central Opercular Cortex (7.1)",-32,18,2,-43.8,5.35,5.14,6301,428.004974118434,76.6110711302608,1.5,0.209716358267542,7.17396933829878,0,0.000488296151161194
3,"Paracingulate Gyrus (33.1), Cingulate Gyrus, anterior division (13.9)",4,18,46,2.62,21.1,42.7,1803,428.999999600463,77.3529227520339,1.11,0.190202344720092,5.85407553391997,0,0.000488296151161194
4,"Lateral Occipital Cortex, inferior division (0)",-30,-66,-34,-23,-65.2,-35.8,711,416.994231613353,77.4910046232399,0.922,0.184739437281678,4.99252194084693,0,0.00201422162353992
5,"Cingulate Gyrus, posterior division (32), Cingulate Gyrus, anterior division (3.3)",2,-26,26,1.7,-24.3,26,167,428.999999600463,80.7183299267199,0.982,0.200213440211883,4.9039252505172,0,0.00299081392586231
6,unknown,14,10,0,14.7,8.57,-0.787,135,428.999999600463,78.3249108258169,0.916,0.183130208733928,5.00315354368649,0,0.00201422162353992
7,"Angular Gyrus (16.5), Supramarginal Gyrus, posterior division (14.2)",-36,-52,38,-37.1,-51.7,38.6,49,428.999999600463,74.3773938019294,0.758,0.163345167220541,4.64286033634562,0,0.00848414562642574
8,unknown,-14,10,-2,-13.5,8.26,-1.1,45,424.993712791242,80.1930773186032,0.822,0.187365020701691,4.38612681592349,0,0.0164799951016903
9,"Frontal Pole (44.9), Frontal Orbital Cortex (33.3)",20,32,-18,21.7,34.8,-17.1,42,399.005218293518,71.1392385477666,0.748,0.156162926123216,4.79130901303142,0,0.00399792473763227
10,"Frontal Pole (56.1), Frontal Orbital Cortex (18)",-24,38,-16,-24.1,39.3,-14.8,32,410.997893840075,69.7773722494021,0.663,0.14712583738401,4.50622455170378,0,0.0115054780617356
11,"Parahippocampal Gyrus, anterior division (0.1)",10,-14,-14,11.4,-14.2,-16.7,30,412.006011762656,49.8881678204052,0.475,0.106641034972199,4.45818545739166,0,0.012482070364058
12,unknown,32,-64,-36,31.4,-63.4,-35.8,22,413.001037244685,72.9586702624802,0.694,0.156832026414122,4.4266844119411,0,0.0144962919875979
13,"Supramarginal Gyrus, anterior division (49.2), Supramarginal Gyrus, posterior division (28)",-58,-38,46,-57.1,-39.3,45.6,22,415.999206131324,68.7701868358999,0.677,0.14188314016792,4.77477096416987,0,0.00448622088879347
14,"Precuneous Cortex (41.7), Cuneal Cortex (9.7)",12,-68,38,11.8,-68.8,38.7,21,428.999999600463,68.6862547181081,0.639,0.141358023483917,4.51961249602027,0,0.0109866634011269
15,"Superior Frontal Gyrus (24.5), Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) (0.5)",-10,10,62,-11,10,62,2,428.999999600463,70.0562434794847,0.588,0.141095465141916,4.16995089151897,3.05182074953336e-05,0.0459913937374949
